"","体长","头长","吻长","体高","尾柄长","尾柄高","眼球直径","D1.2","D1.3","D1.4","D2.4","D3.4","D3.5","D3.6","D4.5","D4.6","D5.6","D5.7","D5.8","D6.7","D6.8","D7.8","D7.9","D7.10","D8.9","D8.10","D9.10","group"
"DHL1",0.816342018719959,0.228434100683026,0.0647609410574247,0.313496078927397,0.114975967619529,0.10997976220592,0.0440804452314698,0.272577789020997,0.171515304831773,0.226789779913989,0.201429294206931,0.35865165696939,0.205287123703516,0.294143688337971,0.512079433341766,0.229825449026056,0.359284088034404,0.0734252466481154,0.183468251960536,0.378699721730331,0.322856058689603,0.13091323045788,0.0999873513786997,0.161649380217556,0.138755375664053,0.081773336706299,0.113774348596003,"DHL"
"DHL2",0.814509993775503,0.21211702054084,0.0629365792931738,0.368075247250847,0.0916384258939069,0.122069299398299,0.04011342416488,0.259492357701086,0.188187288194204,0.23217373262328,0.200497959748254,0.379486824814994,0.222007054429767,0.351061622518846,0.539041427484612,0.260460612767135,0.383359845079189,0.0827858081471748,0.215644235424303,0.392004979597483,0.329967494294211,0.151601078912788,0.0837540632132236,0.167231482121862,0.147866380800885,0.0630749014454665,0.128916245936787,"DHL"
"DHL3",0.813275075499582,0.239285484803701,0.0595000963824455,0.298785581186147,0.105121120606567,0.0995951937287155,0.053010345049155,0.267878943648397,0.176765405127546,0.218209856711431,0.197326993510249,0.350253807106599,0.209149906830303,0.284842254064126,0.526890702306753,0.226113217246032,0.371008160380389,0.0742144830688171,0.168926299556641,0.381417464499133,0.308488080704234,0.130951616012337,0.0987598792006682,0.146629827154148,0.172139047741438,0.114502345306175,0.112510441431601,"DHL"
"DHL4",0.826426727846286,0.2207484944078,0.0585030111843992,0.356610266704904,0.0934184112417551,0.120805850301118,0.0486091195870376,0.25731287639805,0.187768855749928,0.237811872669917,0.21257527960998,0.385216518497276,0.221608832807571,0.343059936908517,0.523444221393748,0.257169486664755,0.361628907370232,0.0822340120447376,0.187195296816748,0.382563808431316,0.306997418984801,0.141669056495555,0.0981502724404933,0.159234298824204,0.184040722684256,0.120805850301118,0.128477201032406,"DHL"
"DHL5",0.783434851694915,0.200013241525424,0.0455508474576271,0.329647775423729,0.0850768008474576,0.117253707627119,0.0490598516949153,0.224708686440678,0.188426906779661,0.221332097457627,0.212658898305085,0.360235699152542,0.226694915254237,0.311242055084746,0.508209745762712,0.216366525423729,0.362221927966102,0.0871954449152542,0.183924788135593,0.38234904661017,0.335474046610169,0.130031779661017,0.0922934322033898,0.155852754237288,0.162407309322034,0.0871292372881356,0.124139300847458,"DHL"
"DHL6",0.828155536087337,0.231012871487297,0.0479142799380012,0.333849989891502,0.111260866635218,0.114091246040838,0.0422535211267606,0.278118471595121,0.17797695262484,0.240717029449424,0.217197924388436,0.377046970820136,0.219354403935575,0.324011051957679,0.542354606105533,0.252982006873779,0.379473010310668,0.0758137340791158,0.195565738931195,0.40211604555563,0.347125817103578,0.140912460408383,0.105667497809825,0.161668576049599,0.178650852483321,0.101691488644787,0.121301974526585,"DHL"
"DHL7",0.801622469152635,0.228781784716068,0.0702842729565751,0.331583611698139,0.0828959029245347,0.108732701615652,0.0473106551230486,0.266071306837549,0.1874701751994,0.226191287749676,0.199672779330561,0.379507805576386,0.2186243097689,0.323948462744563,0.526757106823914,0.245756356943214,0.372145340514009,0.082486877087736,0.184606994341809,0.391914922625946,0.330697389051742,0.125639102869998,0.0865089644829232,0.137773536028359,0.146022223737133,0.0657849887517895,0.114254550412434,"DHL"
"DHL8",0.811919716002185,0.250477880939377,0.0771436373566357,0.362643364281813,0.0757782632441289,0.124522119060623,0.0529082468596395,0.293009284543965,0.181594756963408,0.258533588203168,0.223716548334244,0.393773894046969,0.215456034953577,0.346805024576734,0.536796832332059,0.245152921900601,0.391725832878209,0.0548880393227744,0.191698525395958,0.390701802293829,0.331649371927908,0.143842162752594,0.0895002730748225,0.158178590933916,0.154560349535773,0.0630120152921901,0.128345166575642,"DHL"
"DHL9",0.804399562616582,0.249630153727407,0.069788383610986,0.324049655882164,0.0883771788769538,0.110053386505435,0.0534508265260179,0.270405866083489,0.191548208657619,0.235543834823439,0.215604296648871,0.371454299864926,0.208657618833215,0.304689007525568,0.522287257991895,0.253746703544092,0.362899594777127,0.0680517141570721,0.174310156300251,0.37782208786261,0.313951244613109,0.127870328680774,0.0883128577860681,0.136746639223001,0.140155657039943,0.0618768894320448,0.115392037048948,"DHL"
"DHL10",0.825550552094257,0.238233298377645,0.0699525013879465,0.318302387267905,0.100178890876565,0.116895934859046,0.0511381160940102,0.274258219727346,0.192585281598914,0.226451175128,0.213743754240948,0.362531614335945,0.229658873604343,0.302942446486953,0.548516439454691,0.252914687557831,0.380544075010795,0.0776633150330023,0.184195916353094,0.402689531799395,0.333107149466412,0.139164764665968,0.098204922583431,0.145456788600333,0.184812781444698,0.106224168774289,0.121275677009438,"DHL"
