"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27"
"体长",0.201795156124563,-0.177753186108257,0.126168843269477,-0.250737156466067,0.136308499180374,-0.334515264739945,0.0447672258695148,-0.108711703244246,0.0300133482614995,0.214178834012855,-0.148327855105491,-0.347507136955128,0.0762623250296053,0.165932284126201,-0.00633671959513997,-0.216629977223238,-0.027446154638039,-0.402235554956852,0.422517767733948,0.140965139924831,0.0231562135533432,0.154860082688447,-0.154652103095883,-0.101734965473822,-0.0653969510947066,-0.0546856145984375,-0.0880143897693716
"头长",-0.05369735237436,0.379359808056241,0.119068719742061,-0.0830903935321548,0.117832652763581,-0.147654717462638,-0.0388665033058284,-0.0734717003069564,-0.0436702782397366,0.087684504312567,-0.206899399802259,-0.159971180588025,0.186641242023755,0.127980969652483,-0.311177279792648,-0.0151435101294109,-0.0655035356689263,-0.127490254235184,-0.654142877244799,0.136161052080523,0.193979235731316,-0.0788471272868019,-0.120376750643779,-0.185542511562894,-0.0495400931614643,0.0304387871406657,0.0113289334442053
"吻长",-0.0105062821970057,0.125509841593035,0.257732248036175,-0.215062867058438,-0.0465957401907798,0.0364877684362067,0.000830306769216396,-0.288126055980381,0.746979983465931,-0.136273095129189,0.261870472418622,-0.0828788493242197,-0.2625975007287,-0.0124920899834851,-0.0477575352003757,0.203014170531435,-0.0802235417691612,-0.0324605973844281,0.0137675048416512,-0.0237631734456533,0.0215476380017463,-0.0948421700804952,-0.012968339164406,-0.0430231354065396,0.0241155027592553,0.00383720394557611,0.00412950509061226
"体高",0.274604913452905,0.101355454330387,0.0706598161129002,0.302286144137135,-0.230760068492631,-0.129534174555654,-0.0451663803422079,0.0196018223777238,-0.00749473516870484,-0.171424506920251,-0.140398320585552,-0.00806587511370204,-0.0940307159981127,-0.144846660312269,-0.0797157209901459,0.148775604081916,-0.0977792806282781,-0.0838142138081851,0.096884674388873,0.0827832790282083,0.0869277978138467,0.11428373401415,0.150860747047203,-0.0539143802151238,-0.34897731856566,0.626529011055956,-0.211029685051095
"尾柄长",-0.120487239994701,-0.190518702312412,0.307730226781313,-0.0848964145796132,0.185357952754977,-0.234191768396055,0.209499011374767,0.170311044270262,-0.0496190677911089,-0.277585597304159,-0.219071579117587,0.240265827306916,0.0548894781463578,0.301701375068736,-0.323999832313181,0.177848476067124,-0.324226020815062,0.266401485044871,0.181472935639314,-0.211475023063751,0.067999482986346,-0.0776851616626198,-0.0116641428953523,0.0240956021822479,0.050384719542603,0.024875166291242,0.0319905061829205
"尾柄高",0.137899426083402,0.0899315048902592,-0.165752563601241,-0.44172768566925,0.296157354904343,0.28130374094036,0.195512989698815,0.186651624038519,0.0502728758599988,0.0671055908983725,-0.0238137262577478,0.176588068858019,0.159083736948288,0.122532300733694,0.105275208283273,0.15129487650622,-0.085222974072083,-0.265619531476161,-0.0831568755279843,-0.00503891254348455,-0.385444975156028,-0.0878930979825934,0.233804339145249,0.0914646941883316,-0.126508483025942,0.2649131268165,-0.0839887859893004
"眼球直径",-0.026771348408905,0.147423378569325,-0.145294808275851,-0.364780764331419,-0.0406759773636036,0.163147700937687,-0.0747032847177841,-0.471503677190261,-0.379605033075269,-0.50790357637625,-0.239737737633625,-0.119118757920433,-0.254753217478345,0.0441332573299486,0.0857464662109897,0.0096879793970234,-0.0134030390304986,0.0616703020602135,0.0862562357023023,0.0516701161724415,-0.0212093150455189,0.0223835366025511,-0.0292566621362033,-0.0481152741008987,0.0268030038925685,-0.00182283957732139,0.0157125459667243
"D1.2",-0.0721681941849431,0.309683176975045,0.252627964228726,0.116822855518215,0.105622665006337,-0.0956727814543342,0.0218217316186593,-0.393840397220377,-0.0372014654772776,0.20796857857335,-0.0306802378774814,0.0889941349543306,0.0429146757724685,0.176589648205661,-0.0491041592597971,-0.21791466753117,0.193419532281757,0.114141503019394,0.0749234578824756,-0.196830962503958,-0.102923266880837,0.176742617737884,0.464597758298475,0.373724235481912,-0.122563051310341,-0.0394366781528107,-0.0194857999933609
"D1.3",0.231119385719403,0.0350681167899604,-0.131613439479188,-0.320578012126987,-0.0763674936393048,-0.0471415670307066,-0.153512550554459,0.461336330681816,0.0626166891533586,-0.145059618180524,0.123817489153837,-0.328421576054685,-0.127360135115863,0.169303658339153,-0.0722818271543133,-0.0776484156477801,0.0899589460893716,0.254319176077508,-0.101446102734258,-0.0312009510972012,0.283109189157262,0.268633155763672,0.269967086292464,0.219256365050212,-0.0851727661122674,-0.107576124378192,-0.0196033302277114
"D1.4",0.0419290773959021,0.344121449259877,0.0006327961057505,-0.254583096400931,0.236846328142491,0.0904592733280646,0.168095943894783,0.0410070029164522,-0.0495675864863214,0.162116765727545,0.0650633121133179,0.263663578293157,0.0626028203152907,-0.399902968934674,-0.174565985646985,0.0462314955353514,0.245769394896907,0.209376992725584,0.316909672086926,0.101710762451575,0.37599149906209,0.0844732837526756,-0.219757705678843,-0.0541983757249866,-0.0570151143175419,0.0529415754123662,-0.0322796032435433
"D2.4",0.0315430072055357,0.343788083298011,0.0706553207697981,0.0673694330342504,0.255112945924789,-0.170918866386191,-0.201134577329661,0.12097312063519,0.0314100332353863,0.0611777096002763,-0.206743272531327,-0.323987455064347,0.119497022176099,-0.233293750330258,0.48573914929526,0.183505445616712,-0.295096919617483,0.199580176337712,0.107520213490342,-0.194153834251567,-0.0539314446664388,-0.0978980553898625,-0.0322028620521755,0.0756273868605579,0.175300692342494,0.0280157835821628,0.0648161563028909
